LOCATION,LATITUDE,LONGITUDE
Punpun,25.4639089,85.11218926787205
Fatehpur,24.60839765,85.22643708983149
Hilsa,25.30068345,85.24938291069174
Hazipur,24.9490651,85.6148287
Koilwar,25.5801196,84.75725647778808
Athmal Gola,25.4534509,85.6219947
Bishunpur,25.0869013,87.2005144
Dhanuki,25.1496832,85.6053004
Nadwan,25.3982109,85.0687914
Daulatpur,25.1806579,86.7681299
Patna,25.6093239,85.1235252
Imamganj,24.406483350000002,84.629212130725
Imaliya,25.2844638,85.0946715
Kurtha,25.13326045,84.81126025770061
Arrah,25.62345725,84.59683868653386
Nawada,24.817324900000003,85.51790846584018
Makhdumpur,25.073940399999998,84.98787293898746
Masaurhi,25.3516471,84.98734798892505
Kurthoul,25.5601145,85.1343521
Bihta,25.56181525,84.86694757191393
Hulasganj,25.0878322,85.14966925645304
Nadaul,25.2965388,85.0173352
Jehanabad,25.15295785,85.00650426458421
Muzaffarpur,26.1482548,85.3316096785584
Fatwah,25.4763264,85.2378525745791
Gaya,24.7964355,85.0079563
Siwan,26.131008,84.39107448141786
Bihar Sharif,25.193859,85.5208617
Rajgir,25.0299973,85.4207368
